Index;tmsp;country;amount;success;PSP;3D_secured;card
0;43466,00082;Germany;89;0;UK_Card;0;Visa
1;43466,00089;Germany;89;1;UK_Card;0;Visa
2;43466,00196;Germany;238;0;UK_Card;1;Diners
3;43466,00223;Germany;238;1;UK_Card;1;Diners
4;43466,00316;Austria;124;0;Simplecard;0;Diners
5;43466,00464;Switzerland;282;0;UK_Card;0;Master
6;43466,00508;Switzerland;282;0;Simplecard;0;Master
7;43466,00609;Germany;117;1;UK_Card;0;Master
8;43466,0069;Switzerland;174;0;Simplecard;0;Visa
9;43466,00751;Switzerland;174;0;Simplecard;0;Visa
10;43466,00851;Austria;232;0;Simplecard;1;Diners
11;43466,00894;Austria;232;0;UK_Card;1;Diners
12;43466,00942;Austria;232;0;UK_Card;1;Diners
13;43466,00954;Austria;232;0;UK_Card;1;Diners
14;43466,01013;Austria;232;1;UK_Card;1;Diners
15;43466,01094;Germany;268;0;Simplecard;0;Master
16;43466,01271;Switzerland;89;0;Simplecard;0;Master
17;43466,01274;Switzerland;89;0;UK_Card;0;Master
18;43466,01293;Switzerland;89;0;Moneycard;0;Master
19;43466,0145;Germany;205;0;UK_Card;0;Master
20;43466,01454;Germany;205;0;UK_Card;0;Master
21;43466,01471;Germany;205;1;Moneycard;0;Master
22;43466,01653;Switzerland;111;0;Simplecard;0;Master
23;43466,01714;Switzerland;111;0;UK_Card;0;Master
24;43466,0173;Switzerland;111;0;UK_Card;0;Master
25;43466,01791;Switzerland;111;0;UK_Card;0;Master
26;43466,01814;Switzerland;111;0;UK_Card;0;Master
27;43466,01863;Switzerland;111;0;UK_Card;0;Master
28;43466,02009;Switzerland;277;1;Goldcard;0;Diners
29;43466,02141;Switzerland;137;0;UK_Card;0;Diners
30;43466,02243;Switzerland;148;0;Moneycard;0;Diners
31;43466,02366;Austria;394;0;UK_Card;0;Diners
32;43466,02399;Austria;394;0;UK_Card;0;Diners
33;43466,02459;Austria;394;0;UK_Card;0;Diners
34;43466,0247;Austria;394;1;UK_Card;0;Diners
35;43466,02542;Germany;84;0;Moneycard;0;Master
36;43466,02865;Austria;34;0;Moneycard;0;Visa
37;43466,02876;Austria;34;0;Simplecard;0;Visa
38;43466,02897;Austria;34;0;Goldcard;0;Visa
39;43466,0308;Switzerland;324;0;UK_Card;0;Master
40;43466,03203;Germany;251;0;UK_Card;1;Master
41;43466,03234;Germany;251;0;UK_Card;1;Master
42;43466,03282;Germany;251;0;UK_Card;1;Master
43;43466,03309;Germany;251;0;Simplecard;1;Master
44;43466,03573;Germany;100;0;UK_Card;0;Master
45;43466,03586;Germany;100;0;UK_Card;0;Master
46;43466,03611;Germany;100;0;UK_Card;0;Master
47;43466,03616;Germany;100;0;UK_Card;0;Master
48;43466,03645;Germany;100;0;Simplecard;0;Master
49;43466,03846;Germany;221;0;Moneycard;0;Visa
50;43466,03936;Switzerland;340;0;Simplecard;0;Diners
51;43466,03955;Switzerland;340;1;UK_Card;0;Diners
52;43466,04287;Germany;257;0;UK_Card;1;Master
53;43466,04289;Germany;257;0;Goldcard;1;Master
54;43466,04318;Germany;257;0;UK_Card;1;Master
55;43466,04333;Germany;257;1;UK_Card;1;Master
56;43466,04411;Switzerland;193;0;UK_Card;0;Visa
57;43466,04512;Germany;36;1;Simplecard;1;Master
58;43466,04587;Switzerland;146;0;Simplecard;0;Diners
59;43466,04769;Germany;192;0;UK_Card;0;Master
60;43466,04772;Germany;192;1;UK_Card;0;Master
61;43466,04933;Germany;14;0;Moneycard;0;Master
62;43466,04966;Germany;14;0;UK_Card;0;Master
63;43466,05042;Germany;175;0;Moneycard;0;Visa
64;43466,05072;Germany;175;0;Simplecard;0;Visa
65;43466,05075;Germany;175;1;Simplecard;0;Visa
